pVal,AverageB,AverageL,B1,L1,B2,L2,B3,L3,B4,L4,B5,L5,B6,L6,B7,L7,B8,L8,B9,L9,B10,L10
0.22,0.2398807152,5000,0.2399565088,5000,0.2398585824,5000,0.2397994656,5000,0.2399611008,5000,0.2399674272,5000,0.2398235968,5000,0.2399236416,5000,0.2397763168,5000,0.239853744,5000,0.239886768,5000
0.23,0.2405704554,5000,0.2406078688,5000,0.2405741632,5000,0.2405681312,5000,0.2406380192,5000,0.2404889024,5000,0.240593184,5000,0.2405354688,5000,0.2405122432,5000,0.2406366912,5000,0.2405498816,5000
0.24,0.2413823648,5000,0.2413663424,5000,0.2413744992,5000,0.2414573984,5000,0.2413720704,5000,0.241366288,5000,0.2413808192,5000,0.2414072416,5000,0.241306864,5000,0.2414447648,5000,0.24134736,5000
0.25,0.2423536861,5000,0.2422589088,5000,0.2423683328,5000,0.2423720992,5000,0.2423499424,5000,0.2423301088,5000,0.2423735552,5000,0.2423635968,5000,0.2423758016,5000,0.2423550784,5000,0.2423894368,5000
0.26,0.2434022397,5000,0.24343464,5000,0.243402512,5000,0.2433395296,5000,0.2434482944,5000,0.2434057984,5000,0.2434113728,5000,0.2433620672,5000,0.2433856192,5000,0.2433510912,5000,0.243481472,5000
0.27,0.2445864128,5000,0.244554208,5000,0.244632208,5000,0.2445967136,5000,0.2445884512,5000,0.2445200256,5000,0.2446368576,5000,0.244537856,5000,0.2445735808,5000,0.2446589632,5000,0.244565264,5000
0.28,0.2458255962,5000,0.24588232,5000,0.2458360064,5000,0.2458202112,5000,0.2458126176,5000,0.2458191488,5000,0.245847168,5000,0.2458344,5000,0.2458351712,5000,0.2458074912,5000,0.2457614272,5000
0.29,0.2471605021,5000,0.2472948608,5000,0.2471778048,5000,0.2471250496,5000,0.2471734144,5000,0.2471148864,5000,0.2471309152,5000,0.2471533472,5000,0.2471552064,5000,0.2471941568,5000,0.2470853792,5000
0.3,0.2485460266,5000,0.248620688,5000,0.24853048,5000,0.248577024,5000,0.2485582432,5000,0.2485853472,5000,0.2484865632,5000,0.2486004384,5000,0.2485121376,5000,0.2485145184,5000,0.2484748256,5000
0.31,0.2500167661,5000,0.2499913152,5000,0.2499684832,5000,0.2499982496,5000,0.2500011904,5000,0.2500606912,5000,0.2500443232,5000,0.2500613472,5000,0.2500208512,5000,0.2500453856,5000,0.249975824,5000
0.32,0.2514958867,5000,0.25144304,5000,0.2515218272,5000,0.2515637312,5000,0.2514836128,5000,0.2515330912,5000,0.2514525856,5000,0.2514405408,5000,0.2514926464,5000,0.2514859456,5000,0.2515418464,5000
