pVal, biomass, longevity, fitness, top_pval, top_fitness, pVal_Two, biomass_Two, longevity_Two, top_Fitness_Two, top_Pval_Two
0.67, 0.2812000703999998, 5000.0, 1406.0003519999989, 1.0, 3885.4261120000110.24, 0.03322820159999997, 5000.0, 166.14100799999986, 0.58, 349.7637919999998
0.16, 0.005165923200000004, 5000.0, 25.82961600000002, 1.0, 3885.4261120000110.91, 0.3262502207999991, 5000.0, 1631.2511039999956, 0.91, 1631.2511039999956
0.15, 0.004276025600000014, 5000.0, 21.38012800000007, 1.0, 3885.4261120000110.92, 0.32763113280000034, 5000.0, 1638.1556640000017, 0.92, 1638.1556640000017
0.08, 0.0035471040000000058, 5000.0, 17.73552000000003, 1.0, 3885.4261120000110.88, 0.3249877024000001, 5000.0, 1624.9385120000004, 0.92, 1638.1556640000017
0.56, 0.007679609600000006, 5000.0, 38.39804800000003, 1.0, 3885.4261120000110.96, 0.3288463391999992, 5000.0, 1644.2316959999962, 0.96, 1644.2316959999962
0.51, 0.0, 1.0, 0.0, 1.0, 3885.4261120000111.0, 0.7760610560000027, 5000.0, 3880.3052800000137, 1.0, 3880.3052800000137
0.02, 2.0749120000000123E-4, 5000.0, 1.0374560000000062, 1.0, 3885.4261120000110.97, 0.3349352447999998, 5000.0, 1674.6762239999991, 1.0, 3880.3052800000137
0.73, 0.002483635199999998, 5000.0, 12.41817599999999, 1.0, 3885.4261120000110.99, 0.33757937919999964, 5000.0, 1687.8968959999982, 1.0, 3880.3052800000137
0.38, 0.0026005152000000064, 5000.0, 13.002576000000031, 1.0, 3885.4261120000110.98, 0.3341966976000001, 5000.0, 1670.9834880000005, 1.0, 3880.3052800000137
0.65, 0.27406006399999944, 5000.0, 1370.300319999997, 1.0, 3885.4261120000110.27, 0.03983085759999994, 5000.0, 199.15428799999972, 1.0, 3880.3052800000137
0.46, 0.2357464159999991, 5000.0, 1178.7320799999954, 1.0, 3885.4261120000110.2, 0.055328230400000095, 5000.0, 276.6411520000005, 1.0, 3880.3052800000137
